Argus v2 evolution — run v2, budget 5 min, seed 42

Data: 3951 bars, 71 curated events
Train: 2010-08-18 → 2022-12-31 (2602 bars, 7.1yr)
Test:  2023-01-01 → 2026-09-10 (1349 bars, 3.7yr)
Indicators + event-state precomputed

Buy-hold train: $1000 → $236320000
Buy-hold test:  $1000 → $4702

Gen 1221 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1226 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1231 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1236 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1241 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1246 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1251 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1256 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1261 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1266 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1271 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1276 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1281 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1286 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1291 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1296 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1301 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1306 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1311 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1316 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1321 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1326 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1331 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1336 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1341 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1346 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1351 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1356 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1361 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1366 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1371 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1376 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1381 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1386 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1391 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1396 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1401 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1406 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1411 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1416 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1421 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1426 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1431 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1436 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1441 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1446 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1451 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1456 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1461 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1466 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1471 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1476 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1481 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1486 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1491 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1496 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1501 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1506 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1511 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1516 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1521 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1526 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1531 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1536 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1541 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1546 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1551 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1556 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1561 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1566 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1571 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1576 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1581 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1586 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1591 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1596 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1601 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1606 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1611 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1616 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1621 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1626 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1631 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1636 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1641 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1646 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1651 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1656 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1661 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1666 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1671 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1676 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1681 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1686 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1691 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1696 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1701 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1706 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1711 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1716 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1721 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1726 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1731 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1736 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1741 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1746 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1751 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1756 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1761 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1766 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1771 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1776 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1781 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1786 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1791 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1796 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1801 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1806 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1811 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1816 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1821 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1826 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1831 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1836 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1841 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1846 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1851 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1856 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1861 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1866 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1871 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1876 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1881 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1886 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1891 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1896 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1901 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1906 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1911 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1916 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1921 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1926 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1931 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1936 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1941 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1946 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1951 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1956 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1961 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1966 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1971 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1976 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1981 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1986 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1991 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 1996 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2001 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2006 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2011 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2016 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2021 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2026 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2031 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2036 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2041 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2046 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2051 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2056 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2061 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2066 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2071 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2076 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2081 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2086 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2091 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2096 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2101 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2106 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2111 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2116 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2121 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2126 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2131 | fit  10.429 | CAGR  300.1% | DD  28.8% | Calmar  10.43 | trades  380 | ✓
Gen 2136 | fit  10.460 | CAGR  298.2% | DD  28.5% | Calmar  10.46 | trades  376 | ✓
Gen 2141 | fit  10.466 | CAGR  298.3% | DD  28.5% | Calmar  10.47 | trades  376 | ✓
Gen 2146 | fit  10.475 | CAGR  298.6% | DD  28.5% | Calmar  10.48 | trades  376 | ✓
Gen 2151 | fit  10.487 | CAGR  297.5% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2156 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2161 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2166 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2171 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2176 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2181 | fit  10.492 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2186 | fit  10.493 | CAGR  297.6% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2191 | fit  10.493 | CAGR  297.7% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2196 | fit  10.493 | CAGR  297.7% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2201 | fit  10.493 | CAGR  297.7% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2206 | fit  10.493 | CAGR  297.7% | DD  28.4% | Calmar  10.49 | trades  376 | ✓
Gen 2211 | fit  10.498 | CAGR  297.7% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2216 | fit  10.498 | CAGR  297.7% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2221 | fit  10.498 | CAGR  297.7% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2226 | fit  10.498 | CAGR  297.7% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2231 | fit  10.500 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2236 | fit  10.500 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2241 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2246 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2251 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2256 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2261 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2266 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2271 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2276 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2281 | fit  10.502 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2286 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2291 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2296 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2301 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2306 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2311 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2316 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2321 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2326 | fit  10.503 | CAGR  297.8% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2331 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2336 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2341 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2346 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2351 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2356 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2361 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2366 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2371 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2376 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2381 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2386 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2391 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2396 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2401 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2406 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2411 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2416 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2421 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2426 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2431 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2436 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2441 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2446 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2451 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2456 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2461 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2466 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2471 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2476 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2481 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2486 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2491 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
Gen 2496 | fit  10.503 | CAGR  297.9% | DD  28.4% | Calmar  10.50 | trades  376 | ✓
